x-axis,1,2,3
second,Volt,Volt,Volt
-660.00E-06,,,
-650.00E-06,+51.50756E-03,-10.05023E-03,-31.40701E-03
-640.00E-06,+79.14575E-03,-10.05023E-03,-10.05023E-03
-630.00E-06,+70.35178E-03,-10.05023E-03,-10.05023E-03
-620.00E-06,+41.45731E-03,-10.05023E-03,-10.05023E-03
-610.00E-06,+70.35178E-03,-10.05023E-03,-10.05023E-03
-600.00E-06,+70.35178E-03,-10.05023E-03,-41.45726E-03
-590.00E-06,+70.35178E-03,-10.05023E-03,+27.63821E-03
-580.00E-06,+70.35178E-03,-10.05023E-03,-10.05023E-03
-570.00E-06,+70.35178E-03,-10.05023E-03,-10.05023E-03
-560.00E-06,+70.35178E-03,-41.45726E-03,-10.05023E-03
-550.00E-06,+70.35178E-03,-11.30651E-03,-10.05023E-03
-540.00E-06,+70.35178E-03,-10.05023E-03,-38.94470E-03
-530.00E-06,+70.35178E-03,-10.05023E-03,-28.89445E-03
-520.00E-06,+70.35178E-03,-18.84420E-03,+21.35681E-03
-510.00E-06,+69.09550E-03,-10.05023E-03,-11.30651E-03
-500.00E-06,+59.04525E-03,-10.05023E-03,-21.35676E-03
-490.00E-06,+70.35178E-03,-28.89445E-03,-10.05023E-03
-480.00E-06,+70.35178E-03,-10.05023E-03,-10.05023E-03
-470.00E-06,+70.35178E-03,-10.05023E-03,-10.05023E-03
-460.00E-06,+70.35178E-03,-10.05023E-03,-21.35676E-03
-450.00E-06,+70.35178E-03,-10.05023E-03,-10.05023E-03
-440.00E-06,+70.35178E-03,-10.05023E-03,-10.05023E-03
-430.00E-06,+70.35178E-03,-10.05023E-03,-48.99495E-03
-420.00E-06,+70.35178E-03,-10.05023E-03,-10.05023E-03
-410.00E-06,+48.99500E-03,-10.05023E-03,-10.05023E-03
-400.00E-06,+70.35178E-03,-10.05023E-03,-10.05023E-03
-390.00E-06,+31.40706E-03,-10.05023E-03,-10.05023E-03
-380.00E-06,+70.35178E-03,-10.05023E-03,-10.05023E-03
-370.00E-06,+70.35178E-03,-10.05023E-03,-50.25123E-03
-360.00E-06,+61.55781E-03,-10.05023E-03,-41.45726E-03
-350.00E-06,+31.40706E-03,-10.05023E-03,-11.30651E-03
-340.00E-06,+70.35178E-03,-10.05023E-03,-21.35676E-03
-330.00E-06,+70.35178E-03,-10.05023E-03,-10.05023E-03
-320.00E-06,+70.35178E-03,-10.05023E-03,-10.05023E-03
-310.00E-06,+70.35178E-03,-10.05023E-03,-10.05023E-03
-300.00E-06,+70.35178E-03,-10.05023E-03,-38.94470E-03
-290.00E-06,+70.35178E-03,-10.05023E-03,-10.05023E-03
-280.00E-06,+70.35178E-03,-10.05023E-03,-10.05023E-03
-270.00E-06,+70.35178E-03,-10.05023E-03,-10.05023E-03
-260.00E-06,+70.35178E-03,-10.05023E-03,-10.05023E-03
-250.00E-06,+70.35178E-03,-10.05023E-03,-10.05023E-03
-240.00E-06,+70.35178E-03,-10.05023E-03,-10.05023E-03
-230.00E-06,+70.35178E-03,-10.05023E-03,-10.05023E-03
-220.00E-06,+70.35178E-03,-10.05023E-03,-38.94470E-03
-210.00E-06,+70.35178E-03,-10.05023E-03,-10.05023E-03
-200.00E-06,+70.35178E-03,-10.05023E-03,-41.45726E-03
-190.00E-06,+69.09550E-03,-10.05023E-03,-10.05023E-03
-180.00E-06,+70.35178E-03,-10.05023E-03,-10.05023E-03
-170.00E-06,+70.35178E-03,-10.05023E-03,-28.89445E-03
-160.00E-06,+70.35178E-03,-10.05023E-03,-10.05023E-03
-150.00E-06,+70.35178E-03,-10.05023E-03,-11.30651E-03
-140.00E-06,+59.04525E-03,-10.05023E-03,-10.05023E-03
-130.00E-06,+70.35178E-03,-28.89445E-03,-10.05023E-03
-120.00E-06,+70.35178E-03,-10.05023E-03,-10.05023E-03
-110.00E-06,+70.35178E-03,-10.05023E-03,-48.99495E-03
-100.00E-06,+70.35178E-03,-10.05023E-03,-10.05023E-03
-90.00E-06,+70.35178E-03,-10.05023E-03,-10.05023E-03
-80.00E-06,+70.35178E-03,-10.05023E-03,-41.45726E-03
-70.00E-06,+31.40706E-03,-10.05023E-03,-10.05023E-03
-60.00E-06,+70.35178E-03,-10.05023E-03,-10.05023E-03
