x-axis,1,2,3
second,Volt,Volt,Volt
-10.10000E-03,,,
-10.07500E-03,+73.74378E-03,+3.12902013E+00,+2.14221110E+00
-10.05000E-03,+91.95986E-03,+3.14409551E+00,+2.14535180E+00
-10.02500E-03,+91.95986E-03,+3.12713571E+00,+2.14597994E+00
-10.00000E-03,+91.95986E-03,+3.12713571E+00,+2.14849251E+00
-9.97500E-03,+91.95986E-03,+3.12713571E+00,+2.14221110E+00
-9.95000E-03,+75.00007E-03,+3.12399501E+00,+2.14535180E+00
-9.92500E-03,+91.95986E-03,+3.12713571E+00,+2.15037693E+00
-9.90000E-03,+78.76891E-03,+3.12713571E+00,+2.14221110E+00
-9.87500E-03,+90.07544E-03,+3.12713571E+00,+2.14409552E+00
-9.85000E-03,+91.95986E-03,+3.12713571E+00,+2.14221110E+00
-9.82500E-03,+80.02519E-03,+3.12713571E+00,+2.14221110E+00
-9.80000E-03,+91.95986E-03,+3.12713571E+00,+2.14221110E+00
-9.77500E-03,+91.95986E-03,+3.12713571E+00,+2.14221110E+00
-9.75000E-03,+91.95986E-03,+3.14409551E+00,+2.14221110E+00
-9.72500E-03,+71.85936E-03,+3.12713571E+00,+2.15037693E+00
-9.70000E-03,+91.95986E-03,+3.12713571E+00,+2.14221110E+00
-9.67500E-03,+91.95986E-03,+3.12713571E+00,+2.14221110E+00
-9.65000E-03,+91.95986E-03,+3.12713571E+00,+2.14535180E+00
-9.62500E-03,+91.95986E-03,+3.14723621E+00,+2.15414577E+00
-9.60000E-03,+91.95986E-03,+3.12713571E+00,+2.14221110E+00
-9.57500E-03,+91.95986E-03,+3.12713571E+00,+2.14221110E+00
-9.55000E-03,+91.95986E-03,+3.12713571E+00,+2.14221110E+00
-9.52500E-03,+91.95986E-03,+3.12713571E+00,+2.14221110E+00
-9.50000E-03,+91.95986E-03,+3.12713571E+00,+2.14221110E+00
-9.47500E-03,+91.95986E-03,+3.12902013E+00,+2.14409552E+00
-9.45000E-03,+91.95986E-03,+3.12713571E+00,+2.13907039E+00
-9.42500E-03,+91.95986E-03,+3.12713571E+00,+2.14221110E+00
-9.40000E-03,+78.76891E-03,+3.13404526E+00,+2.13530155E+00
-9.37500E-03,+91.95986E-03,+3.14535179E+00,+2.14221110E+00
-9.35000E-03,+91.95986E-03,+3.12713571E+00,+2.14221110E+00
-9.32500E-03,+91.95986E-03,+3.12713571E+00,+2.14221110E+00
-9.30000E-03,+85.05032E-03,+3.13404526E+00,+2.14221110E+00
-9.27500E-03,+91.95986E-03,+3.12713571E+00,+2.14032668E+00
-9.25000E-03,+91.95986E-03,+3.14409551E+00,+2.14221110E+00
-9.22500E-03,+91.95986E-03,+3.12713571E+00,+2.12211060E+00
-9.20000E-03,+91.95986E-03,+3.12713571E+00,+2.14221110E+00
-9.17500E-03,+91.95986E-03,+3.12713571E+00,+2.14221110E+00
-9.15000E-03,+91.95986E-03,+3.12713571E+00,+2.15917090E+00
-9.12500E-03,+100.12569E-03,+3.13530154E+00,+2.14221110E+00
-9.10000E-03,+78.76891E-03,+3.12713571E+00,+2.15540205E+00
-9.07500E-03,+91.95986E-03,+3.14535179E+00,+2.14221110E+00
-9.05000E-03,+91.95986E-03,+3.12713571E+00,+2.13907039E+00
-9.02500E-03,+91.95986E-03,+3.12713571E+00,+2.14221110E+00
