1793_1796

jehla  H  V  první pin       vst. SIG     UZEL
----- ------ ------------    --------     -------------------
P87   -  ^^  (21.0, 77.0)    IN:  857     1:SIGN639 —>§87
P120  -  vv  (21.0, 55.0)    IN:  835     1:SIGN682 —>§120
P167  -  ^   (21.0, 48.0)    IN:  828     1:P3V3 —>§169
P123  -  ^   (19.0, 54.0)    IN:  522     1:SIGN685 —>§123
P119  -  vv  (17.5, 62.0)    IN:  374     1:SIGN681 —>§119
P132  -  ^   (17.5, 61.0)    IN:  373     1:SIGN698 —>§132
P121  -  ^   (19.0, 61.0)    IN:  529     1:SIGN683 —>§121
P4    >  -   (****, ****)    IN:   **     1:ZOSC
P142  -  ^   (16.0, 49.0)    IN:  283     1:THY_L3_SPGNULL —>§142
P7    -  -   (19.5, 38.0)    IN:  584     1:BP_EIN —>§7
P122  -  vv  (17.5, 47.0)    IN:  359     1:SIGN684 —>§122
P140  >  -   (17.0, 38.0)    IN:50116     1:T_START —>§140
P182  -  ^   (13.0, 49.0)    IN:   49     1:M —>§178
P24   >  -   (21.0, 22.0)    IN:  802     1:SIGN556 —>§24
P19   -  -   (21.0, 42.0)    IN:  822     1:SIGN548 —>§19
P184  >  -   (13.0, 49.0)    IN:   49     1:M —>§178
P20   >  -   (21.5, 31.0)    IN:  889     1:SIGN550 —>§20
P155  >> v   (20.0,  1.0)    IN:  625     1:SIGN601 —>§155
P172  << ^^  (21.5, 46.0)    IN:  904     1:P12V —>§170
P93   -  -   (21.5,  7.0)    IN:  865     1:SIGN645 —>§93
P69   -  -   (21.0, 72.0)    IN:  852     1:SIGN621 —>§69
P85   -  -   (21.5, 67.0)    IN:  925     1:SIGN637 —>§85
P176  -  -   (13.0, 17.0)    IN:   17     1:M —>§176
P89   -  ^^  (17.5, 52.0)    IN:  364     1:SIGN641 —>§89
P70   -  vv  (21.0,  6.0)    IN:  786     1:SIGN622 —>§70
P94   -  ^^  (19.5, 52.0)    IN:  598     1:SIGN646 —>§94
P57   -  ^   (19.0, 52.0)    IN:  520     1:SIGN609 —>§57
P71   -  vv  (17.0, 51.0)    IN:50129     1:SIGN623 —>§71
P84   -  ^^  (21.5, 61.0)    IN:  919     1:SIGN636 —>§84
P9    -  vv  (16.5, 49.0)    IN:50049     1:BYPASS —>§9
P141  -  -   (19.0, 38.0)    IN:  506     1:THY_L1_SPGNULL —>§141
P74   -  ^^  (19.0, 49.0)    IN:  517     1:SIGN626 —>§74
P170  -  vv  (21.5, 46.0)    IN:  904     1:P12V —>§170
P143  >  ^   (19.0, 43.0)    IN:  511     1:U_START —>§143
P181  -  ^   (13.0, 49.0)    IN:   49     1:M —>§178
P26   >  vv  (21.5, 37.0)    IN:  895     1:SIGN559 —>§26
P23   >  ^^  (21.0, 33.0)    IN:  813     1:SIGN553 —>§23
P179  >> -   (13.0, 13.0)    IN:   13     1:M —>§191
P50   -  vv  (21.5, 22.0)    IN:  880     1:SIGN598 —>§50
P48   -  -   (21.0, 26.0)    IN:  806     1:SIGN596 —>§48
P36   >> ^^  (21.5,  9.0)    IN:  867     1:SIGN578 —>§36
P151  << ^^  (21.0, 13.0)    IN:  793     1:SIGN594 —>§151
P44   >  v   (21.5, 78.0)    IN:  936     1:SIGN587 —>§44
P43   -  -   (21.0, 14.0)    IN:  794     1:SIGN586 —>§43
P63   >  -   (21.5, 57.0)    IN:  915     1:SIGN615 —>§63
P72   -  ^^  (21.0, 56.0)    IN:  836     1:SIGN624 —>§72
P65   -  -   (19.0, 56.0)    IN:  524     1:SIGN617 —>§65
P62   -  vv  (19.5, 61.0)    IN:  607     1:SIGN614 —>§62
P54   -  -   (21.5, 53.0)    IN:  911     1:SIGN606 —>§54
P61   >  ^^  (17.0, 50.0)    IN:50128     1:SIGN613 —>§61
P64   -  vv  (19.5, 51.0)    IN:  597     1:SIGN616 —>§64
P68   -  ^   (18.0, 63.0)    IN:  453     1:SIGN620 —>§68
P58   -  -   (21.0, 61.0)    IN:  841     1:SIGN610 —>§58
P60   -  ^^  (21.5, 50.0)    IN:  908     1:SIGN612 —>§60
P92   -  -   (21.5, 33.0)    IN:  891     1:SIGN644 —>§92
P66   -  v   (21.5, 38.0)    IN:  896     1:SIGN618 —>§66
P55   -  -   (21.5, 52.0)    IN:  910     1:SIGN607 —>§55
P15   -  ^   (21.0, 49.0)    IN:  829     1:P1V61 —>§15
P17   -  v   (21.0, 47.0)    IN:  827     1:P1V69 —>§17
P1    >  ^^  (****, ****)    IN:   **     1:ZOSC
P22   >  vv  (21.0, 41.0)    IN:  821     1:SIGN552 —>§22
P183  >  ^^  (13.0, 49.0)    IN:   49     1:M —>§178
P152  << -   (21.5, 14.0)    IN:  872     1:SIGN594 —>§152
P159  >> ^   (21.5, 69.0)    IN:  927     1:SIGN689 —>§159
P91   -  -   (21.0, 70.0)    IN:  850     1:SIGN643 —>§91
P78   -  vv  (21.0, 57.0)    IN:  837     1:SIGN630 —>§78
P90   -  ^   (21.5, 56.0)    IN:  914     1:SIGN642 —>§90
P99   -  ^^  (21.0, 62.0)    IN:  842     1:SIGN655 —>§99
P98   -  v   (21.5, 70.0)    IN:  928     1:SIGN652 —>§98
P75   -  -   (21.5, 76.0)    IN:  934     1:SIGN627 —>§75
P80   -  vv  (19.5, 54.0)    IN:  600     1:SIGN632 —>§80
P82   -  -   (19.0, 53.0)    IN:  521     1:SIGN634 —>§82
P56   -  -   (19.5, 53.0)    IN:  599     1:SIGN608 —>§56
P67   -  ^^  (21.0, 75.0)    IN:  855     1:SIGN619 —>§67
P97   -  vv  (21.5, 66.0)    IN:  924     1:SIGN649 —>§97
P79   -  -   (21.0, 78.0)    IN:  858     1:SIGN631 —>§79
P96   -  ^^  (21.5, 62.0)    IN:  920     1:SIGN648 —>§96
P86   -  -   (21.0, 46.0)    IN:  826     1:SIGN638 —>§86
P76   -  -   (21.5, 49.0)    IN:  907     1:SIGN628 —>§76
P95   -  ^   (21.0, 37.0)    IN:  817     1:SIGN647 —>§95
P166  -  vv  (18.0, 62.0)    IN:  452     1:P3V3 —>§166
P16   -  ^^  (21.0, 38.0)    IN:  818     1:P1V65 —>§16
P180  -  vv  (13.0, 49.0)    IN:   49     1:M —>§178
P130  -  ^   (19.5, 47.0)    IN:  593     1:SIGN695 —>§130
P127  -  v   (21.5, 42.0)    IN:  900     1:SIGN692 —>§127
P77   -  ^   (21.0, 43.0)    IN:  823     1:SIGN629 —>§77
P2    -  -   (****, ****)    IN:   **     1:ZOSC
P81   -  vv  (21.0, 45.0)    IN:  825     1:SIGN633 —>§81
P73   -  -   (21.5, 35.0)    IN:  893     1:SIGN625 —>§73
P145  >  ^   (21.5, 16.0)    IN:  874     1:VSPG_IMSG_2 —>§145
P144  >  -   (21.5, 10.0)    IN:  868     1:VSPG_IMSG_1 —>§144
P33   >  v   (21.0, 23.0)    IN:  803     1:SIGN575 —>§33
P135  -  -   (21.0, 17.0)    IN:  797     1:SIGN701 —>§135
P138  -  -   (21.0, 36.0)    IN:  816     1:STSPGMSG —>§138
P136  -  ^   (21.0,  9.0)    IN:  789     1:SIGN714 —>§136
P178  -  v   (13.0, 49.0)    IN:   49     1:M —>§178
P13   -  ^   (21.0, 35.0)    IN:  815     1:INPUT —>§13
P169  -  v   (18.0, 62.0)    IN:  452     1:P3V3 —>§166
P38   >  -   (21.5, 25.0)    IN:  883     1:SIGN580 —>§38
P49   -  -   (21.0, 30.0)    IN:  810     1:SIGN597 —>§49
P53   -  -   (21.5, 29.0)    IN:  887     1:SIGN605 —>§53
P35   >> v   (21.0, 16.0)    IN:  796     1:SIGN577 —>§35
P163  << ^^  (21.0, 74.0)    IN:  854     1:T3 —>§163
P14   >> v   (21.5, 58.0)    IN:  916     1:L_3 —>§14
P139  -  -   (21.5, 43.0)    IN:  901     1:T_3 —>§139
P59   -  ^^  (21.0, 63.0)    IN:  843     1:SIGN611 —>§59
P83   >  -   (21.0, 44.0)    IN:  824     1:SIGN635 —>§83
P88   -  vv  (21.5, 36.0)    IN:  894     1:SIGN640 —>§88
