Product,GWInstek,GDM9061,GEW921489,1.12,1.14
FileName,DMM DataLog-DMM DataLog-PIN1.csv_0.csv
Function(1ST),DC Voltage,100/s
Function(2ND),OFF,NONE
LogUnit,Auto
MathFunction,Off
Interval,00:00:00.032
Software,V1.06,20200921,Win 10 64bit 
==========
Index,Time,1ST Value,Unit1,2ND Value,Unit2
95,2023/05/04 00:38:48.1,+03.00385,VDC,--------,---
96,2023/05/04 00:38:48.1,+03.00385,VDC,--------,---
97,2023/05/04 00:38:48.1,+03.00384,VDC,--------,---
98,2023/05/04 00:38:48.2,+03.00385,VDC,--------,---
99,2023/05/04 00:38:48.2,+03.00386,VDC,--------,---
100,2023/05/04 00:38:48.2,+03.00386,VDC,--------,---
101,2023/05/04 00:38:48.3,+03.00385,VDC,--------,---
102,2023/05/04 00:38:48.3,+03.00383,VDC,--------,---
103,2023/05/04 00:38:48.3,+03.00383,VDC,--------,---
104,2023/05/04 00:38:48.4,+03.00384,VDC,--------,---
105,2023/05/04 00:38:48.4,+03.00384,VDC,--------,---
106,2023/05/04 00:38:48.4,+03.00385,VDC,--------,---
107,2023/05/04 00:38:48.5,+03.00385,VDC,--------,---
108,2023/05/04 00:38:48.5,+03.00385,VDC,--------,---
109,2023/05/04 00:38:48.5,+03.00385,VDC,--------,---
110,2023/05/04 00:38:48.5,+03.00385,VDC,--------,---
111,2023/05/04 00:38:48.6,+03.00387,VDC,--------,---
112,2023/05/04 00:38:48.6,+03.00386,VDC,--------,---
113,2023/05/04 00:38:48.6,+03.00386,VDC,--------,---
114,2023/05/04 00:38:48.7,+03.00385,VDC,--------,---
115,2023/05/04 00:38:48.7,+03.00385,VDC,--------,---
116,2023/05/04 00:38:48.7,+03.00384,VDC,--------,---
117,2023/05/04 00:38:48.8,+03.00383,VDC,--------,---
118,2023/05/04 00:38:48.8,+03.00384,VDC,--------,---
119,2023/05/04 00:38:48.8,+03.00385,VDC,--------,---
120,2023/05/04 00:38:48.9,+03.00386,VDC,--------,---
121,2023/05/04 00:38:48.9,+03.00386,VDC,--------,---
122,2023/05/04 00:38:48.9,+03.00386,VDC,--------,---
123,2023/05/04 00:38:49.0,+03.00386,VDC,--------,---
124,2023/05/04 00:38:49.0,+03.00385,VDC,--------,---
125,2023/05/04 00:38:49.0,+03.00384,VDC,--------,---
126,2023/05/04 00:38:49.1,+03.00383,VDC,--------,---
127,2023/05/04 00:38:49.1,+03.00383,VDC,--------,---
128,2023/05/04 00:38:49.1,+03.00383,VDC,--------,---
129,2023/05/04 00:38:49.2,+03.00383,VDC,--------,---
130,2023/05/04 00:38:49.2,+03.00383,VDC,--------,---
131,2023/05/04 00:38:49.2,+03.00380,VDC,--------,---
132,2023/05/04 00:38:49.3,+03.00380,VDC,--------,---
133,2023/05/04 00:38:49.3,+03.00381,VDC,--------,---
134,2023/05/04 00:38:49.3,+03.00382,VDC,--------,---
135,2023/05/04 00:38:49.3,+03.00383,VDC,--------,---
136,2023/05/04 00:38:49.4,+03.00384,VDC,--------,---
137,2023/05/04 00:38:49.4,+03.00384,VDC,--------,---
138,2023/05/04 00:38:49.4,+03.00385,VDC,--------,---
139,2023/05/04 00:38:49.5,+03.00384,VDC,--------,---
140,2023/05/04 00:38:49.5,+03.00383,VDC,--------,---
141,2023/05/04 00:38:49.5,+03.00384,VDC,--------,---
142,2023/05/04 00:38:49.6,+03.00385,VDC,--------,---
143,2023/05/04 00:38:49.6,+03.00384,VDC,--------,---
144,2023/05/04 00:38:49.6,+03.00384,VDC,--------,---
145,2023/05/04 00:38:49.7,+03.00384,VDC,--------,---
146,2023/05/04 00:38:49.7,+03.00384,VDC,--------,---
147,2023/05/04 00:38:49.7,+03.00383,VDC,--------,---
148,2023/05/04 00:38:49.8,+03.00382,VDC,--------,---
149,2023/05/04 00:38:49.8,+03.00382,VDC,--------,---
150,2023/05/04 00:38:49.8,+03.00382,VDC,--------,---
151,2023/05/04 00:38:49.9,+03.00380,VDC,--------,---
152,2023/05/04 00:38:49.9,+03.00377,VDC,--------,---
153,2023/05/04 00:38:49.9,+03.00377,VDC,--------,---
154,2023/05/04 00:38:50.0,+03.00376,VDC,--------,---
155,2023/05/04 00:38:50.0,+03.00374,VDC,--------,---
156,2023/05/04 00:38:50.0,+03.00371,VDC,--------,---
157,2023/05/04 00:38:50.1,+03.00369,VDC,--------,---
158,2023/05/04 00:38:50.1,+03.00369,VDC,--------,---
159,2023/05/04 00:38:50.1,+03.00367,VDC,--------,---
160,2023/05/04 00:38:50.1,+03.00365,VDC,--------,---
161,2023/05/04 00:38:50.2,+03.00363,VDC,--------,---
162,2023/05/04 00:38:50.2,+03.00362,VDC,--------,---
163,2023/05/04 00:38:50.2,+03.00361,VDC,--------,---
164,2023/05/04 00:38:50.3,+03.00359,VDC,--------,---
165,2023/05/04 00:38:50.3,+03.00360,VDC,--------,---
166,2023/05/04 00:38:50.3,+03.00360,VDC,--------,---
167,2023/05/04 00:38:50.4,+03.00359,VDC,--------,---
168,2023/05/04 00:38:50.4,+03.00358,VDC,--------,---
169,2023/05/04 00:38:50.4,+03.00358,VDC,--------,---
170,2023/05/04 00:38:50.5,+03.00358,VDC,--------,---
171,2023/05/04 00:38:50.5,+03.00360,VDC,--------,---
172,2023/05/04 00:38:50.5,+03.00361,VDC,--------,---
173,2023/05/04 00:38:50.6,+03.00362,VDC,--------,---
174,2023/05/04 00:38:50.6,+03.00362,VDC,--------,---
175,2023/05/04 00:38:50.6,+03.00362,VDC,--------,---
176,2023/05/04 00:38:50.7,+03.00362,VDC,--------,---
177,2023/05/04 00:38:50.7,+03.00362,VDC,--------,---
178,2023/05/04 00:38:50.7,+03.00361,VDC,--------,---
179,2023/05/04 00:38:50.8,+03.00361,VDC,--------,---
180,2023/05/04 00:38:50.8,+03.00362,VDC,--------,---
181,2023/05/04 00:38:50.8,+03.00362,VDC,--------,---
182,2023/05/04 00:38:50.9,+03.00361,VDC,--------,---
183,2023/05/04 00:38:50.9,+03.00362,VDC,--------,---
184,2023/05/04 00:38:50.9,+03.00363,VDC,--------,---
185,2023/05/04 00:38:50.9,+03.00364,VDC,--------,---
186,2023/05/04 00:38:51.0,+03.00364,VDC,--------,---
187,2023/05/04 00:38:51.0,+03.00366,VDC,--------,---
188,2023/05/04 00:38:51.0,+03.00368,VDC,--------,---
189,2023/05/04 00:38:51.1,+03.00369,VDC,--------,---
190,2023/05/04 00:38:51.1,+03.00369,VDC,--------,---
191,2023/05/04 00:38:51.1,+03.00368,VDC,--------,---
192,2023/05/04 00:38:51.2,+03.00369,VDC,--------,---
193,2023/05/04 00:38:51.2,+03.00369,VDC,--------,---
194,2023/05/04 00:38:51.2,+03.00369,VDC,--------,---
195,2023/05/04 00:38:51.3,+03.00370,VDC,--------,---
196,2023/05/04 00:38:51.3,+03.00370,VDC,--------,---
197,2023/05/04 00:38:51.3,+03.00369,VDC,--------,---
198,2023/05/04 00:38:51.4,+03.00368,VDC,--------,---
199,2023/05/04 00:38:51.4,+03.00368,VDC,--------,---
200,2023/05/04 00:38:51.4,+03.00369,VDC,--------,---
201,2023/05/04 00:38:51.5,+03.00367,VDC,--------,---
202,2023/05/04 00:38:51.5,+03.00368,VDC,--------,---
203,2023/05/04 00:38:51.5,+03.00367,VDC,--------,---
204,2023/05/04 00:38:51.6,+03.00367,VDC,--------,---
205,2023/05/04 00:38:51.6,+03.00366,VDC,--------,---
206,2023/05/04 00:38:51.6,+03.00366,VDC,--------,---
207,2023/05/04 00:38:51.7,+03.00366,VDC,--------,---
208,2023/05/04 00:38:51.7,+03.00367,VDC,--------,---
209,2023/05/04 00:38:51.7,+03.00367,VDC,--------,---
210,2023/05/04 00:38:51.7,+03.00366,VDC,--------,---
211,2023/05/04 00:38:51.8,+03.00367,VDC,--------,---
212,2023/05/04 00:38:51.8,+03.00367,VDC,--------,---
213,2023/05/04 00:38:51.8,+03.00368,VDC,--------,---
214,2023/05/04 00:38:51.9,+03.00366,VDC,--------,---
215,2023/05/04 00:38:51.9,+03.00368,VDC,--------,---
216,2023/05/04 00:38:51.9,+03.00369,VDC,--------,---
217,2023/05/04 00:38:52.0,+03.00370,VDC,--------,---
218,2023/05/04 00:38:52.0,+03.00370,VDC,--------,---
219,2023/05/04 00:38:52.0,+03.00370,VDC,--------,---
220,2023/05/04 00:38:52.1,+03.00371,VDC,--------,---
221,2023/05/04 00:38:52.1,+03.00371,VDC,--------,---
222,2023/05/04 00:38:52.1,+03.00371,VDC,--------,---
223,2023/05/04 00:38:52.2,+03.00371,VDC,--------,---
224,2023/05/04 00:38:52.2,+03.00372,VDC,--------,---
225,2023/05/04 00:38:52.2,+03.00370,VDC,--------,---
226,2023/05/04 00:38:52.3,+03.00369,VDC,--------,---
227,2023/05/04 00:38:52.3,+03.00368,VDC,--------,---
228,2023/05/04 00:38:52.3,+03.00367,VDC,--------,---
229,2023/05/04 00:38:52.4,+03.00367,VDC,--------,---
230,2023/05/04 00:38:52.4,+03.00366,VDC,--------,---
231,2023/05/04 00:38:52.4,+03.00364,VDC,--------,---
232,2023/05/04 00:38:52.5,+03.00363,VDC,--------,---
233,2023/05/04 00:38:52.5,+03.00361,VDC,--------,---
234,2023/05/04 00:38:52.5,+03.00361,VDC,--------,---
235,2023/05/04 00:38:52.5,+03.00361,VDC,--------,---
236,2023/05/04 00:38:52.6,+03.00361,VDC,--------,---
237,2023/05/04 00:38:52.6,+03.00360,VDC,--------,---
238,2023/05/04 00:38:52.6,+03.00360,VDC,--------,---
239,2023/05/04 00:38:52.7,+03.00359,VDC,--------,---
240,2023/05/04 00:38:52.7,+03.00360,VDC,--------,---
241,2023/05/04 00:38:52.7,+03.00361,VDC,--------,---
242,2023/05/04 00:38:52.8,+03.00361,VDC,--------,---
243,2023/05/04 00:38:52.8,+03.00361,VDC,--------,---
244,2023/05/04 00:38:52.8,+03.00362,VDC,--------,---
245,2023/05/04 00:38:52.9,+03.00362,VDC,--------,---
246,2023/05/04 00:38:52.9,+03.00362,VDC,--------,---
247,2023/05/04 00:38:52.9,+03.00362,VDC,--------,---
248,2023/05/04 00:38:53.0,+03.00361,VDC,--------,---
249,2023/05/04 00:38:53.0,+03.00361,VDC,--------,---
250,2023/05/04 00:38:53.0,+03.00360,VDC,--------,---
251,2023/05/04 00:38:53.1,+03.00360,VDC,--------,---
252,2023/05/04 00:38:53.1,+03.00360,VDC,--------,---
253,2023/05/04 00:38:53.1,+03.00360,VDC,--------,---
254,2023/05/04 00:38:53.2,+03.00358,VDC,--------,---
255,2023/05/04 00:38:53.2,+03.00357,VDC,--------,---
256,2023/05/04 00:38:53.2,+03.00359,VDC,--------,---
257,2023/05/04 00:38:53.3,+03.00360,VDC,--------,---
258,2023/05/04 00:38:53.3,+03.00361,VDC,--------,---
259,2023/05/04 00:38:53.3,+03.00362,VDC,--------,---
260,2023/05/04 00:38:53.3,+03.00362,VDC,--------,---
261,2023/05/04 00:38:53.4,+03.00364,VDC,--------,---
262,2023/05/04 00:38:53.4,+03.00365,VDC,--------,---
263,2023/05/04 00:38:53.4,+03.00365,VDC,--------,---
264,2023/05/04 00:38:53.5,+03.00366,VDC,--------,---
265,2023/05/04 00:38:53.5,+03.00368,VDC,--------,---
266,2023/05/04 00:38:53.5,+03.00369,VDC,--------,---
267,2023/05/04 00:38:53.6,+03.00368,VDC,--------,---
268,2023/05/04 00:38:53.6,+03.00368,VDC,--------,---
269,2023/05/04 00:38:53.6,+03.00367,VDC,--------,---
270,2023/05/04 00:38:53.7,+03.00367,VDC,--------,---
271,2023/05/04 00:38:53.7,+03.00366,VDC,--------,---
272,2023/05/04 00:38:53.7,+03.00365,VDC,--------,---
273,2023/05/04 00:38:53.8,+03.00366,VDC,--------,---
