Product,GWInstek,GDM9061,GEW921489,1.12,1.14
FileName,DMM DataLog-DMM DataLog-PIN8.csv_0.csv
Function(1ST),DC Voltage,100/s
Function(2ND),OFF,NONE
LogUnit,Auto
MathFunction,Off
Interval,00:00:00.032
Software,V1.06,20200921,Win 10 64bit 
==========
Index,Time,1ST Value,Unit1,2ND Value,Unit2
1,2023/05/04 00:39:52.4,-064.2880,mVDC,--------,---
2,2023/05/04 00:39:52.5,-040.9162,mVDC,--------,---
3,2023/05/04 00:39:52.5,+006.8313,mVDC,--------,---
4,2023/05/04 00:39:52.5,+055.9532,mVDC,--------,---
5,2023/05/04 00:39:52.6,-063.8037,mVDC,--------,---
6,2023/05/04 00:39:52.6,+084.6308,mVDC,--------,---
7,2023/05/04 00:39:52.6,-046.9088,mVDC,--------,---
8,2023/05/04 00:39:52.7,+016.9554,mVDC,--------,---
9,2023/05/04 00:39:52.7,+041.7189,mVDC,--------,---
10,2023/05/04 00:39:52.7,-064.0898,mVDC,--------,---
11,2023/05/04 00:39:52.8,+084.8393,mVDC,--------,---
12,2023/05/04 00:39:52.8,-037.3930,mVDC,--------,---
13,2023/05/04 00:39:52.8,+004.5289,mVDC,--------,---
14,2023/05/04 00:39:52.8,+048.1876,mVDC,--------,---
15,2023/05/04 00:39:52.9,-067.0643,mVDC,--------,---
16,2023/05/04 00:39:52.9,+086.3700,mVDC,--------,---
17,2023/05/04 00:39:52.9,-031.5328,mVDC,--------,---
18,2023/05/04 00:39:53.0,-000.2823,mVDC,--------,---
19,2023/05/04 00:39:53.0,+051.7617,mVDC,--------,---
20,2023/05/04 00:39:53.0,-064.7738,mVDC,--------,---
21,2023/05/04 00:39:53.1,+083.5967,mVDC,--------,---
22,2023/05/04 00:39:53.1,-044.3413,mVDC,--------,---
23,2023/05/04 00:39:53.1,+013.5157,mVDC,--------,---
24,2023/05/04 00:39:53.2,+061.3642,mVDC,--------,---
25,2023/05/04 00:39:53.2,-067.3873,mVDC,--------,---
26,2023/05/04 00:39:53.2,+078.0512,mVDC,--------,---
27,2023/05/04 00:39:53.3,-026.8536,mVDC,--------,---
28,2023/05/04 00:39:53.3,+014.4123,mVDC,--------,---
29,2023/05/04 00:39:53.3,+047.8662,mVDC,--------,---
30,2023/05/04 00:39:53.4,-064.9206,mVDC,--------,---
31,2023/05/04 00:39:53.4,+079.9778,mVDC,--------,---
32,2023/05/04 00:39:53.4,-042.3474,mVDC,--------,---
33,2023/05/04 00:39:53.5,+012.0635,mVDC,--------,---
34,2023/05/04 00:39:53.5,+064.0866,mVDC,--------,---
35,2023/05/04 00:39:53.5,-064.9126,mVDC,--------,---
36,2023/05/04 00:39:53.6,+077.5232,mVDC,--------,---
37,2023/05/04 00:39:53.6,-029.9673,mVDC,--------,---
38,2023/05/04 00:39:53.6,-004.3529,mVDC,--------,---
39,2023/05/04 00:39:53.6,+063.3721,mVDC,--------,---
40,2023/05/04 00:39:53.7,-067.9079,mVDC,--------,---
41,2023/05/04 00:39:53.7,+072.4770,mVDC,--------,---
42,2023/05/04 00:39:53.7,-030.2159,mVDC,--------,---
43,2023/05/04 00:39:53.8,-001.3216,mVDC,--------,---
44,2023/05/04 00:39:53.8,+061.6836,mVDC,--------,---
45,2023/05/04 00:39:53.8,-068.9004,mVDC,--------,---
46,2023/05/04 00:39:53.9,+078.2231,mVDC,--------,---
47,2023/05/04 00:39:53.9,-023.0378,mVDC,--------,---
48,2023/05/04 00:39:53.9,-001.1873,mVDC,--------,---
49,2023/05/04 00:39:54.0,+067.4617,mVDC,--------,---
50,2023/05/04 00:39:54.0,-067.9971,mVDC,--------,---
51,2023/05/04 00:39:54.0,+078.7535,mVDC,--------,---
52,2023/05/04 00:39:54.1,-036.1248,mVDC,--------,---
53,2023/05/04 00:39:54.1,-006.2901,mVDC,--------,---
54,2023/05/04 00:39:54.1,+062.8126,mVDC,--------,---
55,2023/05/04 00:39:54.2,-066.9980,mVDC,--------,---
56,2023/05/04 00:39:54.2,+070.1899,mVDC,--------,---
57,2023/05/04 00:39:54.2,-029.1923,mVDC,--------,---
58,2023/05/04 00:39:54.3,-002.9000,mVDC,--------,---
59,2023/05/04 00:39:54.3,+052.8762,mVDC,--------,---
60,2023/05/04 00:39:54.3,-068.1008,mVDC,--------,---
61,2023/05/04 00:39:54.4,+075.8867,mVDC,--------,---
62,2023/05/04 00:39:54.4,-030.9736,mVDC,--------,---
63,2023/05/04 00:39:54.4,-009.1856,mVDC,--------,---
64,2023/05/04 00:39:54.4,+063.6760,mVDC,--------,---
65,2023/05/04 00:39:54.5,-067.4773,mVDC,--------,---
66,2023/05/04 00:39:54.5,+066.0629,mVDC,--------,---
67,2023/05/04 00:39:54.5,-022.9638,mVDC,--------,---
68,2023/05/04 00:39:54.6,-008.8528,mVDC,--------,---
69,2023/05/04 00:39:54.6,+057.3250,mVDC,--------,---
70,2023/05/04 00:39:54.6,-066.7125,mVDC,--------,---
