Product,GWInstek,GDM9061,GEW921489,1.12,1.14
FileName,DMM DataLog-DMM DataLog-PIN7.csv_0.csv
Function(1ST),DC Voltage,100/s
Function(2ND),OFF,NONE
LogUnit,Auto
MathFunction,Off
Interval,00:00:00.032
Software,V1.06,20200921,Win 10 64bit 
==========
Index,Time,1ST Value,Unit1,2ND Value,Unit2
92,2023/05/04 00:40:44.9,+013.4529,mVDC,--------,---
93,2023/05/04 00:40:45.0,+013.4992,mVDC,--------,---
94,2023/05/04 00:40:45.0,+013.5278,mVDC,--------,---
95,2023/05/04 00:40:45.0,+013.4785,mVDC,--------,---
96,2023/05/04 00:40:45.1,+013.5472,mVDC,--------,---
97,2023/05/04 00:40:45.1,+013.4701,mVDC,--------,---
98,2023/05/04 00:40:45.1,+013.5013,mVDC,--------,---
99,2023/05/04 00:40:45.2,+013.5191,mVDC,--------,---
100,2023/05/04 00:40:45.2,+013.4540,mVDC,--------,---
101,2023/05/04 00:40:45.2,+013.5228,mVDC,--------,---
102,2023/05/04 00:40:45.3,+013.4567,mVDC,--------,---
103,2023/05/04 00:40:45.3,+013.4974,mVDC,--------,---
104,2023/05/04 00:40:45.3,+013.5298,mVDC,--------,---
105,2023/05/04 00:40:45.4,+013.4793,mVDC,--------,---
106,2023/05/04 00:40:45.4,+013.5510,mVDC,--------,---
107,2023/05/04 00:40:45.4,+013.4666,mVDC,--------,---
108,2023/05/04 00:40:45.5,+013.5002,mVDC,--------,---
109,2023/05/04 00:40:45.5,+013.5223,mVDC,--------,---
110,2023/05/04 00:40:45.5,+013.4504,mVDC,--------,---
111,2023/05/04 00:40:45.6,+013.5150,mVDC,--------,---
112,2023/05/04 00:40:45.6,+013.4624,mVDC,--------,---
113,2023/05/04 00:40:45.6,+013.4966,mVDC,--------,---
114,2023/05/04 00:40:45.7,+013.5328,mVDC,--------,---
115,2023/05/04 00:40:45.7,+013.4872,mVDC,--------,---
116,2023/05/04 00:40:45.7,+013.5531,mVDC,--------,---
117,2023/05/04 00:40:45.7,+013.4699,mVDC,--------,---
118,2023/05/04 00:40:45.8,+013.4905,mVDC,--------,---
119,2023/05/04 00:40:45.8,+013.5224,mVDC,--------,---
120,2023/05/04 00:40:45.8,+013.4549,mVDC,--------,---
121,2023/05/04 00:40:45.9,+013.5200,mVDC,--------,---
122,2023/05/04 00:40:45.9,+013.4633,mVDC,--------,---
123,2023/05/04 00:40:45.9,+013.5037,mVDC,--------,---
124,2023/05/04 00:40:46.0,+013.5298,mVDC,--------,---
125,2023/05/04 00:40:46.0,+013.4843,mVDC,--------,---
126,2023/05/04 00:40:46.0,+013.5500,mVDC,--------,---
127,2023/05/04 00:40:46.1,+013.4762,mVDC,--------,---
128,2023/05/04 00:40:46.1,+013.4764,mVDC,--------,---
129,2023/05/04 00:40:46.1,+013.5127,mVDC,--------,---
130,2023/05/04 00:40:46.2,+013.4486,mVDC,--------,---
131,2023/05/04 00:40:46.2,+013.5310,mVDC,--------,---
132,2023/05/04 00:40:46.2,+013.4656,mVDC,--------,---
133,2023/05/04 00:40:46.3,+013.4900,mVDC,--------,---
134,2023/05/04 00:40:46.3,+013.5395,mVDC,--------,---
135,2023/05/04 00:40:46.3,+013.4782,mVDC,--------,---
136,2023/05/04 00:40:46.4,+013.4780,mVDC,--------,---
137,2023/05/04 00:40:46.4,+013.5087,mVDC,--------,---
138,2023/05/04 00:40:46.4,+013.4398,mVDC,--------,---
139,2023/05/04 00:40:46.5,+013.5250,mVDC,--------,---
140,2023/05/04 00:40:46.5,+013.5011,mVDC,--------,---
141,2023/05/04 00:40:46.5,+013.4693,mVDC,--------,---
142,2023/05/04 00:40:46.6,+013.5425,mVDC,--------,---
143,2023/05/04 00:40:46.6,+013.4785,mVDC,--------,---
144,2023/05/04 00:40:46.6,+013.5323,mVDC,--------,---
145,2023/05/04 00:40:46.6,+013.5014,mVDC,--------,---
146,2023/05/04 00:40:46.7,+013.4627,mVDC,--------,---
147,2023/05/04 00:40:46.7,+013.5052,mVDC,--------,---
148,2023/05/04 00:40:46.7,+013.4431,mVDC,--------,---
149,2023/05/04 00:40:46.8,+013.5246,mVDC,--------,---
150,2023/05/04 00:40:46.8,+013.4882,mVDC,--------,---
151,2023/05/04 00:40:46.8,+013.4730,mVDC,--------,---
152,2023/05/04 00:40:46.9,+013.5371,mVDC,--------,---
153,2023/05/04 00:40:46.9,+013.4951,mVDC,--------,---
154,2023/05/04 00:40:46.9,+013.5207,mVDC,--------,---
155,2023/05/04 00:40:47.0,+013.4785,mVDC,--------,---
156,2023/05/04 00:40:47.0,+013.5484,mVDC,--------,---
157,2023/05/04 00:40:47.0,+013.4704,mVDC,--------,---
158,2023/05/04 00:40:47.1,+013.4953,mVDC,--------,---
159,2023/05/04 00:40:47.1,+013.5178,mVDC,--------,---
160,2023/05/04 00:40:47.1,+013.4522,mVDC,--------,---
161,2023/05/04 00:40:47.2,+013.5162,mVDC,--------,---
162,2023/05/04 00:40:47.2,+013.4503,mVDC,--------,---
163,2023/05/04 00:40:47.2,+013.4863,mVDC,--------,---
164,2023/05/04 00:40:47.3,+013.5291,mVDC,--------,---
165,2023/05/04 00:40:47.3,+013.4807,mVDC,--------,---
166,2023/05/04 00:40:47.3,+013.5456,mVDC,--------,---
167,2023/05/04 00:40:47.4,+013.4656,mVDC,--------,---
168,2023/05/04 00:40:47.4,+013.4989,mVDC,--------,---
169,2023/05/04 00:40:47.4,+013.5133,mVDC,--------,---
170,2023/05/04 00:40:47.5,+013.4504,mVDC,--------,---
171,2023/05/04 00:40:47.5,+013.5228,mVDC,--------,---
172,2023/05/04 00:40:47.5,+013.4523,mVDC,--------,---
173,2023/05/04 00:40:47.6,+013.4953,mVDC,--------,---
