Product,GWInstek,GDM9061,GEW921489,1.12,1.14
FileName,DMM DataLog-DMM DataLog-PIN2.csv_0.csv
Function(1ST),DC Voltage,100/s
Function(2ND),OFF,NONE
LogUnit,Auto
MathFunction,Off
Interval,00:00:00.032
Software,V1.06,20200921,Win 10 64bit 
==========
Index,Time,1ST Value,Unit1,2ND Value,Unit2
1,2023/05/04 00:35:38.5,+02.48198,VDC,--------,---
2,2023/05/04 00:35:38.5,+02.48200,VDC,--------,---
3,2023/05/04 00:35:38.5,+02.48202,VDC,--------,---
4,2023/05/04 00:35:38.5,+02.48204,VDC,--------,---
5,2023/05/04 00:35:38.6,+02.48207,VDC,--------,---
6,2023/05/04 00:35:38.6,+02.48208,VDC,--------,---
7,2023/05/04 00:35:38.6,+02.48209,VDC,--------,---
8,2023/05/04 00:35:38.7,+02.48212,VDC,--------,---
9,2023/05/04 00:35:38.7,+02.48215,VDC,--------,---
10,2023/05/04 00:35:38.7,+02.48220,VDC,--------,---
11,2023/05/04 00:35:38.8,+02.48222,VDC,--------,---
12,2023/05/04 00:35:38.8,+02.48222,VDC,--------,---
13,2023/05/04 00:35:38.8,+02.48222,VDC,--------,---
14,2023/05/04 00:35:38.9,+02.48222,VDC,--------,---
15,2023/05/04 00:35:38.9,+02.48222,VDC,--------,---
16,2023/05/04 00:35:38.9,+02.48222,VDC,--------,---
17,2023/05/04 00:35:39.0,+02.48223,VDC,--------,---
18,2023/05/04 00:35:39.0,+02.48222,VDC,--------,---
19,2023/05/04 00:35:39.0,+02.48223,VDC,--------,---
20,2023/05/04 00:35:39.1,+02.48222,VDC,--------,---
21,2023/05/04 00:35:39.1,+02.48222,VDC,--------,---
22,2023/05/04 00:35:39.1,+02.48222,VDC,--------,---
23,2023/05/04 00:35:39.2,+02.48221,VDC,--------,---
24,2023/05/04 00:35:39.2,+02.48222,VDC,--------,---
25,2023/05/04 00:35:39.2,+02.48223,VDC,--------,---
26,2023/05/04 00:35:39.3,+02.48224,VDC,--------,---
27,2023/05/04 00:35:39.3,+02.48222,VDC,--------,---
28,2023/05/04 00:35:39.3,+02.48222,VDC,--------,---
29,2023/05/04 00:35:39.3,+02.48220,VDC,--------,---
30,2023/05/04 00:35:39.4,+02.48221,VDC,--------,---
