Product,GWInstek,GDM9061,GEW921489,1.12,1.14
FileName,DMM DataLog-DMM DataLog-PIN6.csv_0.csv
Function(1ST),DC Voltage,100/s
Function(2ND),OFF,NONE
LogUnit,Auto
MathFunction,Off
Interval,00:00:00.032
Software,V1.06,20200921,Win 10 64bit 
==========
Index,Time,1ST Value,Unit1,2ND Value,Unit2
1,2023/05/04 00:38:01.0,+0.286069,VDC,--------,---
2,2023/05/04 00:38:01.0,+0.286061,VDC,--------,---
3,2023/05/04 00:38:01.1,+0.286057,VDC,--------,---
4,2023/05/04 00:38:01.1,+0.286057,VDC,--------,---
5,2023/05/04 00:38:01.1,+0.286050,VDC,--------,---
6,2023/05/04 00:38:01.2,+0.286052,VDC,--------,---
7,2023/05/04 00:38:01.2,+0.286044,VDC,--------,---
8,2023/05/04 00:38:01.2,+0.286041,VDC,--------,---
9,2023/05/04 00:38:01.3,+0.286040,VDC,--------,---
10,2023/05/04 00:38:01.3,+0.286030,VDC,--------,---
11,2023/05/04 00:38:01.3,+0.286030,VDC,--------,---
12,2023/05/04 00:38:01.4,+0.286029,VDC,--------,---
13,2023/05/04 00:38:01.4,+0.286031,VDC,--------,---
14,2023/05/04 00:38:01.4,+0.286033,VDC,--------,---
15,2023/05/04 00:38:01.5,+0.286035,VDC,--------,---
16,2023/05/04 00:38:01.5,+0.286036,VDC,--------,---
17,2023/05/04 00:38:01.5,+0.286037,VDC,--------,---
18,2023/05/04 00:38:01.5,+0.286037,VDC,--------,---
19,2023/05/04 00:38:01.6,+0.286035,VDC,--------,---
20,2023/05/04 00:38:01.6,+0.286038,VDC,--------,---
21,2023/05/04 00:38:01.6,+0.286040,VDC,--------,---
22,2023/05/04 00:38:01.7,+0.286044,VDC,--------,---
23,2023/05/04 00:38:01.7,+0.286045,VDC,--------,---
24,2023/05/04 00:38:01.7,+0.286045,VDC,--------,---
25,2023/05/04 00:38:01.8,+0.286049,VDC,--------,---
26,2023/05/04 00:38:01.8,+0.286055,VDC,--------,---
27,2023/05/04 00:38:01.8,+0.286063,VDC,--------,---
28,2023/05/04 00:38:01.9,+0.286077,VDC,--------,---
29,2023/05/04 00:38:01.9,+0.286093,VDC,--------,---
30,2023/05/04 00:38:01.9,+0.286106,VDC,--------,---
31,2023/05/04 00:38:02.0,+0.286118,VDC,--------,---
32,2023/05/04 00:38:02.0,+0.286131,VDC,--------,---
33,2023/05/04 00:38:02.0,+0.286143,VDC,--------,---
34,2023/05/04 00:38:02.1,+0.286155,VDC,--------,---
35,2023/05/04 00:38:02.1,+0.286165,VDC,--------,---
36,2023/05/04 00:38:02.1,+0.286170,VDC,--------,---
37,2023/05/04 00:38:02.2,+0.286172,VDC,--------,---
38,2023/05/04 00:38:02.2,+0.286167,VDC,--------,---
39,2023/05/04 00:38:02.2,+0.286160,VDC,--------,---
40,2023/05/04 00:38:02.3,+0.286152,VDC,--------,---
41,2023/05/04 00:38:02.3,+0.286145,VDC,--------,---
42,2023/05/04 00:38:02.3,+0.286139,VDC,--------,---
43,2023/05/04 00:38:02.3,+0.286132,VDC,--------,---
44,2023/05/04 00:38:02.4,+0.286124,VDC,--------,---
45,2023/05/04 00:38:02.4,+0.286118,VDC,--------,---
46,2023/05/04 00:38:02.4,+0.286111,VDC,--------,---
47,2023/05/04 00:38:02.5,+0.286109,VDC,--------,---
48,2023/05/04 00:38:02.5,+0.286109,VDC,--------,---
49,2023/05/04 00:38:02.5,+0.286109,VDC,--------,---
50,2023/05/04 00:38:02.6,+0.286106,VDC,--------,---
51,2023/05/04 00:38:02.6,+0.286100,VDC,--------,---
52,2023/05/04 00:38:02.6,+0.286093,VDC,--------,---
53,2023/05/04 00:38:02.7,+0.286087,VDC,--------,---
54,2023/05/04 00:38:02.7,+0.286084,VDC,--------,---
55,2023/05/04 00:38:02.7,+0.286081,VDC,--------,---
56,2023/05/04 00:38:02.8,+0.286080,VDC,--------,---
57,2023/05/04 00:38:02.8,+0.286078,VDC,--------,---
58,2023/05/04 00:38:02.8,+0.286076,VDC,--------,---
59,2023/05/04 00:38:02.9,+0.286074,VDC,--------,---
60,2023/05/04 00:38:02.9,+0.286076,VDC,--------,---
