Product,GWInstek,GDM9061,GEW921489,1.12,1.14
FileName,DMM DataLog-DMM DataLog-PIN4.csv.csv_0.csv
Function(1ST),DC Voltage,100/s
Function(2ND),OFF,NONE
LogUnit,Auto
MathFunction,Off
Interval,00:00:00.032
Software,V1.06,20200921,Win 10 64bit 
==========
Index,Time,1ST Value,Unit1,2ND Value,Unit2
95,2023/05/04 00:32:45.2,+02.15087,VDC,--------,---
96,2023/05/04 00:32:45.2,+02.15087,VDC,--------,---
97,2023/05/04 00:32:45.2,+02.15086,VDC,--------,---
98,2023/05/04 00:32:45.3,+02.15086,VDC,--------,---
99,2023/05/04 00:32:45.3,+02.15086,VDC,--------,---
100,2023/05/04 00:32:45.3,+02.15084,VDC,--------,---
101,2023/05/04 00:32:45.4,+02.15084,VDC,--------,---
102,2023/05/04 00:32:45.4,+02.15084,VDC,--------,---
103,2023/05/04 00:32:45.4,+02.15085,VDC,--------,---
104,2023/05/04 00:32:45.5,+02.15086,VDC,--------,---
105,2023/05/04 00:32:45.5,+02.15087,VDC,--------,---
106,2023/05/04 00:32:45.5,+02.15086,VDC,--------,---
107,2023/05/04 00:32:45.6,+02.15086,VDC,--------,---
108,2023/05/04 00:32:45.6,+02.15086,VDC,--------,---
109,2023/05/04 00:32:45.6,+02.15086,VDC,--------,---
110,2023/05/04 00:32:45.7,+02.15087,VDC,--------,---
111,2023/05/04 00:32:45.7,+02.15088,VDC,--------,---
112,2023/05/04 00:32:45.7,+02.15088,VDC,--------,---
113,2023/05/04 00:32:45.8,+02.15087,VDC,--------,---
114,2023/05/04 00:32:45.8,+02.15084,VDC,--------,---
115,2023/05/04 00:32:45.8,+02.15083,VDC,--------,---
116,2023/05/04 00:32:45.9,+02.15084,VDC,--------,---
117,2023/05/04 00:32:45.9,+02.15085,VDC,--------,---
118,2023/05/04 00:32:45.9,+02.15084,VDC,--------,---
119,2023/05/04 00:32:46.0,+02.15083,VDC,--------,---
120,2023/05/04 00:32:46.0,+02.15083,VDC,--------,---
121,2023/05/04 00:32:46.0,+02.15082,VDC,--------,---
122,2023/05/04 00:32:46.1,+02.15082,VDC,--------,---
123,2023/05/04 00:32:46.1,+02.15082,VDC,--------,---
124,2023/05/04 00:32:46.1,+02.15082,VDC,--------,---
125,2023/05/04 00:32:46.1,+02.15084,VDC,--------,---
126,2023/05/04 00:32:46.2,+02.15083,VDC,--------,---
127,2023/05/04 00:32:46.2,+02.15083,VDC,--------,---
128,2023/05/04 00:32:46.2,+02.15083,VDC,--------,---
129,2023/05/04 00:32:46.3,+02.15084,VDC,--------,---
130,2023/05/04 00:32:46.3,+02.15084,VDC,--------,---
131,2023/05/04 00:32:46.3,+02.15084,VDC,--------,---
132,2023/05/04 00:32:46.4,+02.15084,VDC,--------,---
133,2023/05/04 00:32:46.4,+02.15084,VDC,--------,---
134,2023/05/04 00:32:46.4,+02.15084,VDC,--------,---
135,2023/05/04 00:32:46.5,+02.15083,VDC,--------,---
136,2023/05/04 00:32:46.5,+02.15083,VDC,--------,---
137,2023/05/04 00:32:46.5,+02.15082,VDC,--------,---
138,2023/05/04 00:32:46.6,+02.15080,VDC,--------,---
139,2023/05/04 00:32:46.6,+02.15079,VDC,--------,---
140,2023/05/04 00:32:46.6,+02.15079,VDC,--------,---
141,2023/05/04 00:32:46.7,+02.15079,VDC,--------,---
142,2023/05/04 00:32:46.7,+02.15080,VDC,--------,---
143,2023/05/04 00:32:46.7,+02.15079,VDC,--------,---
144,2023/05/04 00:32:46.8,+02.15078,VDC,--------,---
145,2023/05/04 00:32:46.8,+02.15078,VDC,--------,---
146,2023/05/04 00:32:46.8,+02.15079,VDC,--------,---
147,2023/05/04 00:32:46.9,+02.15079,VDC,--------,---
148,2023/05/04 00:32:46.9,+02.15080,VDC,--------,---
149,2023/05/04 00:32:46.9,+02.15079,VDC,--------,---
150,2023/05/04 00:32:46.9,+02.15078,VDC,--------,---
151,2023/05/04 00:32:47.0,+02.15078,VDC,--------,---
152,2023/05/04 00:32:47.0,+02.15079,VDC,--------,---
153,2023/05/04 00:32:47.0,+02.15079,VDC,--------,---
154,2023/05/04 00:32:47.1,+02.15079,VDC,--------,---
155,2023/05/04 00:32:47.1,+02.15079,VDC,--------,---
156,2023/05/04 00:32:47.1,+02.15079,VDC,--------,---
157,2023/05/04 00:32:47.2,+02.15079,VDC,--------,---
158,2023/05/04 00:32:47.2,+02.15079,VDC,--------,---
159,2023/05/04 00:32:47.2,+02.15079,VDC,--------,---
160,2023/05/04 00:32:47.3,+02.15080,VDC,--------,---
161,2023/05/04 00:32:47.3,+02.15080,VDC,--------,---
162,2023/05/04 00:32:47.3,+02.15079,VDC,--------,---
163,2023/05/04 00:32:47.4,+02.15078,VDC,--------,---
164,2023/05/04 00:32:47.4,+02.15078,VDC,--------,---
165,2023/05/04 00:32:47.4,+02.15080,VDC,--------,---
166,2023/05/04 00:32:47.5,+02.15082,VDC,--------,---
167,2023/05/04 00:32:47.5,+02.15081,VDC,--------,---
168,2023/05/04 00:32:47.5,+02.15081,VDC,--------,---
169,2023/05/04 00:32:47.6,+02.15083,VDC,--------,---
170,2023/05/04 00:32:47.6,+02.15083,VDC,--------,---
171,2023/05/04 00:32:47.6,+02.15085,VDC,--------,---
172,2023/05/04 00:32:47.7,+02.15087,VDC,--------,---
173,2023/05/04 00:32:47.7,+02.15090,VDC,--------,---
174,2023/05/04 00:32:47.7,+02.15090,VDC,--------,---
175,2023/05/04 00:32:47.7,+02.15089,VDC,--------,---
176,2023/05/04 00:32:47.8,+02.15087,VDC,--------,---
177,2023/05/04 00:32:47.8,+02.15087,VDC,--------,---
178,2023/05/04 00:32:47.8,+02.15088,VDC,--------,---
179,2023/05/04 00:32:47.9,+02.15086,VDC,--------,---
180,2023/05/04 00:32:47.9,+02.15087,VDC,--------,---
181,2023/05/04 00:32:47.9,+02.15085,VDC,--------,---
