Product,GWInstek,GDM9061,GEW921489,1.12,1.14
FileName,DMM DataLog-DMM DataLog-PIN5.csv_0.csv
Function(1ST),DC Voltage,100/s
Function(2ND),OFF,NONE
LogUnit,Auto
MathFunction,Off
Interval,00:00:00.032
Software,V1.06,20200921,Win 10 64bit 
==========
Index,Time,1ST Value,Unit1,2ND Value,Unit2
1,2023/05/04 00:37:05.7,+0.970586,VDC,--------,---
2,2023/05/04 00:37:05.7,+0.970576,VDC,--------,---
3,2023/05/04 00:37:05.8,+0.970571,VDC,--------,---
4,2023/05/04 00:37:05.8,+0.970562,VDC,--------,---
5,2023/05/04 00:37:05.8,+0.970562,VDC,--------,---
6,2023/05/04 00:37:05.9,+0.970562,VDC,--------,---
7,2023/05/04 00:37:05.9,+0.970557,VDC,--------,---
8,2023/05/04 00:37:05.9,+0.970554,VDC,--------,---
9,2023/05/04 00:37:06.0,+0.970547,VDC,--------,---
10,2023/05/04 00:37:06.0,+0.970546,VDC,--------,---
11,2023/05/04 00:37:06.0,+0.970541,VDC,--------,---
12,2023/05/04 00:37:06.1,+0.970547,VDC,--------,---
13,2023/05/04 00:37:06.1,+0.970554,VDC,--------,---
14,2023/05/04 00:37:06.1,+0.970554,VDC,--------,---
15,2023/05/04 00:37:06.2,+0.970555,VDC,--------,---
16,2023/05/04 00:37:06.2,+0.970549,VDC,--------,---
17,2023/05/04 00:37:06.2,+0.970548,VDC,--------,---
18,2023/05/04 00:37:06.3,+0.970553,VDC,--------,---
19,2023/05/04 00:37:06.3,+0.970557,VDC,--------,---
20,2023/05/04 00:37:06.3,+0.970564,VDC,--------,---
21,2023/05/04 00:37:06.4,+0.970569,VDC,--------,---
22,2023/05/04 00:37:06.4,+0.970565,VDC,--------,---
23,2023/05/04 00:37:06.4,+0.970560,VDC,--------,---
24,2023/05/04 00:37:06.5,+0.970564,VDC,--------,---
25,2023/05/04 00:37:06.5,+0.970573,VDC,--------,---
26,2023/05/04 00:37:06.5,+0.970582,VDC,--------,---
27,2023/05/04 00:37:06.5,+0.970588,VDC,--------,---
28,2023/05/04 00:37:06.6,+0.970592,VDC,--------,---
29,2023/05/04 00:37:06.6,+0.970591,VDC,--------,---
30,2023/05/04 00:37:06.6,+0.970591,VDC,--------,---
31,2023/05/04 00:37:06.7,+0.970590,VDC,--------,---
32,2023/05/04 00:37:06.7,+0.970599,VDC,--------,---
33,2023/05/04 00:37:06.7,+0.970613,VDC,--------,---
34,2023/05/04 00:37:06.8,+0.970621,VDC,--------,---
35,2023/05/04 00:37:06.8,+0.970621,VDC,--------,---
36,2023/05/04 00:37:06.8,+0.970623,VDC,--------,---
37,2023/05/04 00:37:06.9,+0.970627,VDC,--------,---
38,2023/05/04 00:37:06.9,+0.970630,VDC,--------,---
39,2023/05/04 00:37:06.9,+0.970635,VDC,--------,---
40,2023/05/04 00:37:07.0,+0.970642,VDC,--------,---
41,2023/05/04 00:37:07.0,+0.970649,VDC,--------,---
42,2023/05/04 00:37:07.0,+0.970647,VDC,--------,---
43,2023/05/04 00:37:07.1,+0.970640,VDC,--------,---
44,2023/05/04 00:37:07.1,+0.970636,VDC,--------,---
45,2023/05/04 00:37:07.1,+0.970633,VDC,--------,---
46,2023/05/04 00:37:07.2,+0.970635,VDC,--------,---
47,2023/05/04 00:37:07.2,+0.970636,VDC,--------,---
48,2023/05/04 00:37:07.2,+0.970634,VDC,--------,---
49,2023/05/04 00:37:07.2,+0.970632,VDC,--------,---
50,2023/05/04 00:37:07.3,+0.970632,VDC,--------,---
51,2023/05/04 00:37:07.3,+0.970630,VDC,--------,---
52,2023/05/04 00:37:07.3,+0.970636,VDC,--------,---
53,2023/05/04 00:37:07.4,+0.970644,VDC,--------,---
54,2023/05/04 00:37:07.4,+0.970652,VDC,--------,---
55,2023/05/04 00:37:07.4,+0.970657,VDC,--------,---
56,2023/05/04 00:37:07.5,+0.970657,VDC,--------,---
57,2023/05/04 00:37:07.5,+0.970657,VDC,--------,---
58,2023/05/04 00:37:07.5,+0.970661,VDC,--------,---
59,2023/05/04 00:37:07.6,+0.970668,VDC,--------,---
60,2023/05/04 00:37:07.6,+0.970671,VDC,--------,---
61,2023/05/04 00:37:07.6,+0.970675,VDC,--------,---
62,2023/05/04 00:37:07.7,+0.970673,VDC,--------,---
63,2023/05/04 00:37:07.7,+0.970664,VDC,--------,---
64,2023/05/04 00:37:07.7,+0.970654,VDC,--------,---
65,2023/05/04 00:37:07.8,+0.970650,VDC,--------,---
66,2023/05/04 00:37:07.8,+0.970641,VDC,--------,---
67,2023/05/04 00:37:07.8,+0.970630,VDC,--------,---
68,2023/05/04 00:37:07.9,+0.970618,VDC,--------,---
69,2023/05/04 00:37:07.9,+0.970601,VDC,--------,---
70,2023/05/04 00:37:07.9,+0.970577,VDC,--------,---
71,2023/05/04 00:37:08.0,+0.970557,VDC,--------,---
72,2023/05/04 00:37:08.0,+0.970543,VDC,--------,---
73,2023/05/04 00:37:08.0,+0.970534,VDC,--------,---
74,2023/05/04 00:37:08.1,+0.970525,VDC,--------,---
75,2023/05/04 00:37:08.1,+0.970513,VDC,--------,---
76,2023/05/04 00:37:08.1,+0.970504,VDC,--------,---
77,2023/05/04 00:37:08.1,+0.970497,VDC,--------,---
78,2023/05/04 00:37:08.2,+0.970497,VDC,--------,---
79,2023/05/04 00:37:08.2,+0.970501,VDC,--------,---
80,2023/05/04 00:37:08.2,+0.970506,VDC,--------,---
81,2023/05/04 00:37:08.3,+0.970510,VDC,--------,---
82,2023/05/04 00:37:08.3,+0.970506,VDC,--------,---
83,2023/05/04 00:37:08.3,+0.970500,VDC,--------,---
84,2023/05/04 00:37:08.4,+0.970499,VDC,--------,---
85,2023/05/04 00:37:08.4,+0.970495,VDC,--------,---
86,2023/05/04 00:37:08.4,+0.970498,VDC,--------,---
87,2023/05/04 00:37:08.5,+0.970500,VDC,--------,---
88,2023/05/04 00:37:08.5,+0.970499,VDC,--------,---
89,2023/05/04 00:37:08.5,+0.970496,VDC,--------,---
90,2023/05/04 00:37:08.6,+0.970497,VDC,--------,---
91,2023/05/04 00:37:08.6,+0.970497,VDC,--------,---
92,2023/05/04 00:37:08.6,+0.970504,VDC,--------,---
93,2023/05/04 00:37:08.7,+0.970516,VDC,--------,---
94,2023/05/04 00:37:08.7,+0.970520,VDC,--------,---
95,2023/05/04 00:37:08.7,+0.970522,VDC,--------,---
96,2023/05/04 00:37:08.8,+0.970520,VDC,--------,---
97,2023/05/04 00:37:08.8,+0.970522,VDC,--------,---
98,2023/05/04 00:37:08.8,+0.970525,VDC,--------,---
99,2023/05/04 00:37:08.9,+0.970521,VDC,--------,---
100,2023/05/04 00:37:08.9,+0.970518,VDC,--------,---
101,2023/05/04 00:37:08.9,+0.970522,VDC,--------,---
102,2023/05/04 00:37:08.9,+0.970518,VDC,--------,---
103,2023/05/04 00:37:09.0,+0.970512,VDC,--------,---
104,2023/05/04 00:37:09.0,+0.970508,VDC,--------,---
105,2023/05/04 00:37:09.0,+0.970513,VDC,--------,---
106,2023/05/04 00:37:09.1,+0.970529,VDC,--------,---
107,2023/05/04 00:37:09.1,+0.970536,VDC,--------,---
108,2023/05/04 00:37:09.1,+0.970535,VDC,--------,---
109,2023/05/04 00:37:09.2,+0.970539,VDC,--------,---
110,2023/05/04 00:37:09.2,+0.970548,VDC,--------,---
111,2023/05/04 00:37:09.2,+0.970549,VDC,--------,---
112,2023/05/04 00:37:09.3,+0.970554,VDC,--------,---
113,2023/05/04 00:37:09.3,+0.970562,VDC,--------,---
114,2023/05/04 00:37:09.3,+0.970572,VDC,--------,---
115,2023/05/04 00:37:09.4,+0.970574,VDC,--------,---
116,2023/05/04 00:37:09.4,+0.970565,VDC,--------,---
117,2023/05/04 00:37:09.4,+0.970562,VDC,--------,---
118,2023/05/04 00:37:09.5,+0.970567,VDC,--------,---
119,2023/05/04 00:37:09.5,+0.970570,VDC,--------,---
120,2023/05/04 00:37:09.5,+0.970566,VDC,--------,---
121,2023/05/04 00:37:09.6,+0.970563,VDC,--------,---
122,2023/05/04 00:37:09.6,+0.970554,VDC,--------,---
123,2023/05/04 00:37:09.6,+0.970543,VDC,--------,---
124,2023/05/04 00:37:09.7,+0.970530,VDC,--------,---
125,2023/05/04 00:37:09.7,+0.970521,VDC,--------,---
126,2023/05/04 00:37:09.7,+0.970517,VDC,--------,---
127,2023/05/04 00:37:09.7,+0.970513,VDC,--------,---
128,2023/05/04 00:37:09.8,+0.970502,VDC,--------,---
129,2023/05/04 00:37:09.8,+0.970494,VDC,--------,---
130,2023/05/04 00:37:09.8,+0.970487,VDC,--------,---
131,2023/05/04 00:37:09.9,+0.970484,VDC,--------,---
132,2023/05/04 00:37:09.9,+0.970488,VDC,--------,---
133,2023/05/04 00:37:09.9,+0.970494,VDC,--------,---
134,2023/05/04 00:37:10.0,+0.970496,VDC,--------,---
135,2023/05/04 00:37:10.0,+0.970501,VDC,--------,---
136,2023/05/04 00:37:10.0,+0.970496,VDC,--------,---
137,2023/05/04 00:37:10.1,+0.970494,VDC,--------,---
138,2023/05/04 00:37:10.1,+0.970493,VDC,--------,---
139,2023/05/04 00:37:10.1,+0.970495,VDC,--------,---
140,2023/05/04 00:37:10.2,+0.970501,VDC,--------,---
141,2023/05/04 00:37:10.2,+0.970502,VDC,--------,---
142,2023/05/04 00:37:10.2,+0.970496,VDC,--------,---
143,2023/05/04 00:37:10.3,+0.970489,VDC,--------,---
144,2023/05/04 00:37:10.3,+0.970481,VDC,--------,---
145,2023/05/04 00:37:10.3,+0.970467,VDC,--------,---
146,2023/05/04 00:37:10.4,+0.970472,VDC,--------,---
147,2023/05/04 00:37:10.4,+0.970474,VDC,--------,---
148,2023/05/04 00:37:10.4,+0.970473,VDC,--------,---
149,2023/05/04 00:37:10.5,+0.970469,VDC,--------,---
150,2023/05/04 00:37:10.5,+0.970461,VDC,--------,---
151,2023/05/04 00:37:10.5,+0.970458,VDC,--------,---
152,2023/05/04 00:37:10.5,+0.970465,VDC,--------,---
153,2023/05/04 00:37:10.6,+0.970474,VDC,--------,---
154,2023/05/04 00:37:10.6,+0.970484,VDC,--------,---
155,2023/05/04 00:37:10.6,+0.970493,VDC,--------,---
156,2023/05/04 00:37:10.7,+0.970489,VDC,--------,---
157,2023/05/04 00:37:10.7,+0.970488,VDC,--------,---
158,2023/05/04 00:37:10.7,+0.970492,VDC,--------,---
159,2023/05/04 00:37:10.8,+0.970494,VDC,--------,---
160,2023/05/04 00:37:10.8,+0.970496,VDC,--------,---
161,2023/05/04 00:37:10.8,+0.970498,VDC,--------,---
162,2023/05/04 00:37:10.9,+0.970494,VDC,--------,---
163,2023/05/04 00:37:10.9,+0.970478,VDC,--------,---
164,2023/05/04 00:37:10.9,+0.970471,VDC,--------,---
165,2023/05/04 00:37:11.0,+0.970469,VDC,--------,---
166,2023/05/04 00:37:11.0,+0.970472,VDC,--------,---
167,2023/05/04 00:37:11.0,+0.970472,VDC,--------,---
168,2023/05/04 00:37:11.1,+0.970471,VDC,--------,---
169,2023/05/04 00:37:11.1,+0.970472,VDC,--------,---
