2 15.50 64.0 103152 50229 1%T208
2 15.00 62.0 110772 41339 1%T209
2 15.57 77.0 53622 51524 1%T209
2 15.50 67.0 91722 50229 1%T210
2 14.00 62.0 110772 23559 1%T210
2 15.00 65.0 99342 41339 1%T211
2 14.50 62.0 110772 32449 1%T211
2 17.50 65.0 99342 85789 1%T212
2 15.50 62.0 110772 50229 1%T212
2 17.50 62.0 110772 85789 1%T213
2 15.50 65.0 99342 50229 1%T213
2 15.50 76.0 57432 50229 1%UINT
2 14.39 70.0 80292 30432 1%VCC_NTC
2 17.00 62.0 110772 76899 1%VDD
2 15.00 77.0 53622 41339 1%VDD
2 15.50 78.0 49812 50229 1%VDD
2 15.50 42.0 186972 50229 2%FLMD0
2 23.00 43.0 183162 183579 2%GND
2 23.00 40.0 194592 183579 2%GND
2 23.00 20.0 270792 183579 2%GND
2 23.00 19.0 274602 183579 2%GND
2 17.50 19.0 274602 85789 2%GND
2 17.50 20.0 270792 85789 2%GND
2 17.50 39.0 198402 85789 2%GND
2 17.50 40.0 194592 85789 2%GND
2 18.00 48.0 164112 94679 2%GND
2 18.00 51.0 152682 94679 2%GND
2 17.00 42.0 186972 76899 2%GND
2 17.00 40.0 194592 76899 2%GND
2 17.00 39.0 198402 76899 2%GND
2 17.00 20.0 270792 76899 2%GND
2 17.00 19.0 274602 76899 2%GND
2 15.00 19.0 274602 41339 2%GND
2 15.50 19.0 274602 50229 2%GND
2 15.00 20.0 270792 41339 2%GND
2 15.50 20.0 270792 50229 2%GND
2 15.00 39.0 198402 41339 2%GND
2 15.50 39.0 198402 50229 2%GND
2 15.00 40.0 194592 41339 2%GND
2 15.50 40.0 194592 50229 2%GND
2 14.00 40.0 194592 23559 2%GND
2 14.50 40.0 194592 32449 2%GND
2 14.00 39.0 198402 23559 2%GND
2 14.50 39.0 198402 32449 2%GND
2 14.00 20.0 270792 23559 2%GND
2 14.50 20.0 270792 32449 2%GND
2 14.00 19.0 274602 23559 2%GND
2 14.50 19.0 274602 32449 2%GND
2 14.50 13.0 297462 32449 2%GND
2 13.00 11.0 305082 5779 2%GND
2 13.00 49.0 160302 5779 2%GND
2 13.00 50.0 156492 5779 2%GND
2 23.00 41.0 190782 183579 2%KL30
2 18.00 52.0 148872 94679 2%KL30
2 14.00 14.0 293652 23559 2%KL30
2 17.64 11.0 305082 88207 2%KL30V
2 17.00 12.0 301272 76899 2%KL30V
2 23.00 45.0 175542 183579 2%LIN
2 14.50 12.0 301272 32449 2%LIN
2 14.50 23.0 259362 32449 2%LIN_S
2 15.00 42.0 186972 41339 2%P14_RDY
2 14.00 42.0 186972 23559 2%P16_TMS
2 14.39 04.0 331752 30409 2%P17_TCK
2 14.54 10.0 308892 33218 2%P18_TDO
2 14.50 41.0 190782 32449 2%P19_TDI
2 17.00 10.0 308892 76899 2%SIGN405
2 17.00 01.0 343182 76899 2%SIGN408
2 17.63 02.0 339372 88184 2%SIGN409
2 17.50 03.0 335562 85789 2%SIGN411
2 17.00 03.0 335562 76899 2%SIGN412
2 17.50 07.0 320322 85789 2%SIGN416
2 15.44 06.0 324132 49220 2%SIGN419
2 17.50 09.0 312702 85789 2%SIGN420
2 15.00 06.0 324132 41339 2%SIGN423
2 17.50 06.0 324132 85789 2%SIGN425
2 15.00 07.0 320322 41339 2%SIGN426
2 17.00 09.0 312702 76899 2%SIGN429
2 16.95 06.0 324132 75994 2%SIGN430
2 17.58 08.0 316512 87158 2%SIGN431
2 13.92 11.0 305082 22062 2%SIGN443
2 14.00 01.0 343182 23559 2%SIGN444
2 13.92 02.0 339372 22088 2%SIGN444
2 15.50 10.0 308892 50229 2%SIGN447
2 14.00 12.0 301272 23559 2%SIGN449
2 14.50 11.0 305082 32449 2%SIGN449
2 15.63 07.0 320322 52624 2%SIGN450
2 14.06 05.0 327942 24608 2%SIGN451
2 14.50 03.0 335562 32449 2%SIGN452
2 13.89 03.0 335562 21549 2%SIGN452
2 15.00 02.0 339372 41339 2%SIGN453
2 15.50 23.0 259362 50229 2%SIGN454
2 15.00 24.0 255552 41339 2%SIGN454
2 15.58 02.0 339372 51704 2%SIGN456
2 15.50 01.0 343182 50229 2%SIGN457
2 15.00 01.0 343182 41339 2%SIGN463
2 15.00 10.0 308892 41339 2%SIGN465
2 14.58 06.0 324132 33871 2%SIGN466
2 14.50 02.0 339372 32449 2%SIGN467
2 14.50 01.0 343182 32449 2%SIGN467
2 17.50 12.0 301272 85789 2%T200
2 17.00 13.0 297462 76899 2%T200
2 17.00 15.0 289842 76899 2%T201
2 15.00 14.0 293652 41339 2%T201
2 15.50 14.0 293652 50229 2%T202
2 15.00 15.0 289842 41339 2%T202
2 17.50 14.0 293652 85789 2%T203
2 15.50 15.0 289842 50229 2%T203
2 17.50 16.0 286032 85789 2%T204
2 17.00 17.0 282222 76899 2%T204
2 15.00 16.0 286032 41339 2%T205
2 15.00 17.0 282222 41339 2%T205
2 15.50 16.0 286032 50229 2%T206
